company,allvitr_score,recommendation,rationale,official_name,orgnr,official_name_confidence,official_name_reasoning
Frontline Performance Group,215.26,Reach out now,transformation program (n/a) – (impact direction: 1) transitioned from on-site training to a SaaS model; strategy refresh (n/a) – (impact direction: 1) focus on enhancing guest experiences and employee engagement; it initiative (n/a) – (impact direction: 1) IN-Gauge platform integrates with PMS and POS systems; project hiring surge (n/a) – (impact direction: 1) growing demand for scalable training solutions,NORTHSTARS PERFORMANCE GROUP,933500357,0.96,Brreg match (score=4.8). Valid orgnr.
Baker Hughes,181.04,Reach out now,"strategy refresh (n/a) – (impact direction: 1) Increased demand for accounting software due to ongoing digital transformation in businesses; regulatory change response (n/a) – (impact direction: 1) Rise in invoicing/EHF (Peppol) adoption as companies seek compliance with electronic invoicing regulations; regulatory change response (n/a) – (impact direction: 1) Increased VAT/MVA registration and filing requirements due to regulatory changes; layoffs downsizing (n/a) – (impact direction: -1) Negative risk events: layoffs in the oil sector affecting Baker Hughes; public tender consulting (n/a) – (impact direction: 1) Tenders/RFPs for accounting, payroll, and e-invoicing solutions signal market opportunities; hiring surge (n/a) – (impact direction: 1) Growing need for payroll solutions (A-melding) as businesses expand and hire more employees",BAKER HUGHES NORGE AS,980353273,0.96,Brreg match (score=6.75). Valid orgnr.
Widerøe,170.85,Reach out now,"transformation program (n/a) – (impact direction: 1) Increased demand for accounting software due to e-commerce growth and digital transformation; regulatory change response (n/a) – (impact direction: 1) Regulatory changes driving need for payroll (A-melding) compliance and automation; public tender consulting (n/a) – (impact direction: 1) Tenders/RFPs for accounting, payroll, and e-invoicing services on the rise; project hiring surge (n/a) – (impact direction: 1) Increased searches for accountants indicating a need for outsourced financial services; cost cutting (n/a) – (impact direction: -1) Negative risk events (bankruptcy, layoffs) prompting businesses to seek more reliable accounting solutions",WIDERØE GROUND HANDLING AS AVD ANDØYA LUFTHAVN,993184543,0.96,Brreg match (score=6.75). Valid orgnr.
Storfjord Kommune,168.18,Reach out now,regulatory change response (n/a) – (impact direction: 1) following regulatory changes; it initiative (n/a) – (impact direction: 1) may require integrations for invoicing and payment automation; it initiative (n/a) – (impact direction: 1) as municipalities modernize financial operations; public tender consulting (n/a) – (impact direction: 1) may seek tenders for accounting and payroll solutions; cost cutting (n/a) – (impact direction: -1) budget cuts or layoffs in public sectors,STORFJORD KOMMUNE INTRODUKSJONSSTØNAD FOR FLYKTNINGER,914059453,0.96,Brreg match (score=6.75). Valid orgnr.
Veidekke,167.18,Reach out now,"it initiative (n/a) – (impact direction: 1) Increased interest in switching from legacy tools to more integrated solutions; public tender consulting (n/a) – (impact direction: 1) Tenders/RFPs likely for accounting, payroll, and e-invoicing services in large projects; regulatory change response (n/a) – (impact direction: 1) VAT/MVA registration and filings required for large-scale construction projects; project hiring surge (n/a) – (impact direction: 1) Need for payroll solutions for the 8,000 employees at Veidekke; cost cutting (n/a) – (impact direction: -1) Risk of bankruptcy or layoffs in the construction sector could drive demand for accounting solutions",Veidekke ASA,917103801,0.96,Brreg match (score=5.25). Valid orgnr.
Axactor,166.18,Reach out now,"transformation program (n/a) – (impact direction: 1) Growing interest in invoicing/EHF (Peppol) solutions as businesses seek compliance with digital invoicing regulations; it initiative (n/a) – (impact direction: 1) Signals of switch intent from legacy tools (e.g., Fiken, Tripletex) to modern SaaS solutions; public tender consulting (n/a) – (impact direction: 1) Companies are actively seeking tenders/RFPs for accounting, payroll, and e-invoicing solutions; cost cutting (n/a) – (impact direction: -1) Businesses are reporting layoffs and financial struggles, indicating potential shifts to more efficient accounting solutions; project hiring surge (n/a) – (impact direction: 1) Demand for payroll solutions (A-melding) as companies expand and require streamlined payroll processing",AXACTOR CAPITAL AS,917983747,0.96,Brreg match (score=5.6). Valid orgnr.
Menon Economics,165.78,Reach out now,it initiative (n/a) – (impact direction: 1) demand for accounting software due to new hires; it initiative (n/a) – (impact direction: 1) E-commerce launches/migrations may require integrations; strategy refresh (n/a) – (impact direction: 1) Looking for an accountant signals may emerge; regulatory change response (n/a) – (impact direction: -1) Risk of regulatory/tax actions could prompt a shift; public tender consulting (n/a) – (impact direction: 1) Tenders/RFPs for accounting and payroll services may arise; hiring surge (n/a) – (impact direction: 1) new hires at Menon Economics,MENON ECONOMICS AS,977213193,0.96,Brreg match (score=5.05). Valid orgnr.
Bjorn Lunden,165.18,Reach out now,"merger acquisition (n/a) – (impact direction: 1) Plans for 1 to 3 acquisitions in the coming years indicate market consolidation; public tender consulting (n/a) – (impact direction: 1) Tenders/RFPs for accounting and payroll services may arise from expansion efforts; funding (n/a) – (impact direction: 1) closed a €5.6 billion fund to support Bjorn Lunden's growth; expansion (n/a) – (impact direction: 1) rebranded to Bjorn Lunden for easier European expansion; leadership change (n/a) – (impact direction: 1) New commercial chief Polly Hussain appointed, signaling strategic leadership changes",LUNDEN,897951282,0.96,Brreg match (score=4.25). Valid orgnr.
Aker Solutions,163.69,Reach out now,new market entry (n/a) – (impact direction: 1) securing up to 21 billion NOK in green contracts; it initiative (n/a) – (impact direction: 1) potential for increased invoicing and payment automation requirements; public tender consulting (n/a) – (impact direction: 1) Tenders or RFPs for accounting and payroll services may arise; hiring surge (n/a) – (impact direction: 1) plans to hire more consultants,AKER SOLUTIONS ASA,913748174,0.96,Brreg match (score=6.4). Valid orgnr.
Xiaomi Corp.,161.19,Reach out now,strategy refresh (n/a) – (impact direction: 1) prompting companies to reassess sourcing strategies; transformation program (n/a) – (impact direction: 1) emphasizing compliance and collaboration with municipal authorities; new market entry (n/a) – (impact direction: 1) localized strategies to capture growth opportunities across different markets,THE QUARTZ CORP USA NUF,934749847,0.96,Brreg match (score=4.35). Valid orgnr.
Skatteetaten,157.0,Reach out now,transformation program (n/a) – (impact direction: 1) potential switch intent from legacy tools as businesses adapt to increased regulatory scrutiny; regulatory change response (n/a) – (impact direction: 1) increased scrutiny on VAT compliance indicates a rising demand for accounting software; new market entry (n/a) – (impact direction: 1) 20% increase in reported rental income suggests a growing need for accounting solutions,SKATTEETATEN INNKREVINGSREGNSKAPET FOR BIDRAG OG TILBAKEBETALING,921455054,0.96,Brreg match (score=5.6). Valid orgnr.
Eduplaytion,154.41,Reach out now,transformation program (n/a) – (impact direction: 1) Focus on sustainable operations may lead to a search for better accounting and payroll solutions; it initiative (n/a) – (impact direction: 1) Potential for switch intent from legacy tools as Eduplaytion scales operations and seeks efficiency; regulatory change response (n/a) – (impact direction: 1) Plans to explore opportunities outside Norway may require VAT/MVA registration and filings; expansion (n/a) – (impact direction: 1) Expansion to 200 municipalities suggests increased bookkeeping and invoicing needs,EDUPLAYTION AS,921181647,0.96,Brreg match (score=4.6). Valid orgnr.
Velde Asfalt,153.62,Reach out now,"transformation program (Lyngdal) – (impact direction: 1) Første veistrekning med sirkulær asfalt i verden på E39 i Lyngdal; regulatory change response (n/a) – (impact direction: 1) Statens vegvesen vurderer klimautslipp ved asfaltinnkjøp; public tender consulting (n/a) – (impact direction: 1) Internasjonal interesse for prosjektet, med planlagte årlige målinger av kvalitet",VELDE ASFALT AS AVD HAUGESUND,971989238,0.96,Brreg match (score=6.05). Valid orgnr.
Askeladden & Co,151.81,Reach out now,"bankruptcy insolvency (n/a) – (impact direction: -1) Askeladden-selskap slås konkurs; it initiative (n/a) – (impact direction: 1) Legacy tool switch intent from Fiken, Tripletex, Visma eAccounting, and others suggests demand for modern accounting solutions; transformation program (n/a) – (impact direction: 1) Increased focus on e-commerce launches/migrations, suggesting a rise in bookkeeping load and need for integrations; public tender consulting (n/a) – (impact direction: 1) Tenders/RFPs for accounting, payroll, and e-invoicing indicate market opportunities; cost cutting (n/a) – (impact direction: -1) Layoffs in companies may lead to increased demand for payroll solutions and automation tools; hiring surge (n/a) – (impact direction: 1) Companies looking for accountants signal demand for accounting services and software",ASKELADDEN & CO 1 AS,918866515,0.96,Brreg match (score=6.75). Valid orgnr.
Bitcoins Norge,146.23,Reach out now,regulatory change response (n/a) – (impact direction: 1) Regulatory scrutiny and tax actions can prompt companies to adopt more robust accounting software; it initiative (n/a) – (impact direction: 1) Signals of switch intent from legacy tools; public tender consulting (n/a) – (impact direction: 1) Tenders/RFPs for accounting and payroll services are likely to arise,BITCOINS NORGE AS,998436419,0.96,Brreg match (score=5.4). Valid orgnr.
Avinor,137.45,Reach out now,transformation program (n/a) – (impact direction: 1) necessitating infrastructure upgrades; it initiative (n/a) – (impact direction: 1) New baggage system operational for eight months; project hiring surge (n/a) – (impact direction: 1) Employment of nearly 20 new staff members,"AVINOR B.I.L, KVERNBERGET",917099634,0.96,Brreg match (score=5.25). Valid orgnr.
Horde,130.82,Reach out now,transformation program (n/a) – (impact direction: 1) integration of AI features in financial apps; regulatory change response (n/a) – (impact direction: 1) Increased compliance requirements from DORA regulation may lead businesses to seek more robust accounting solutions; funding (n/a) – (impact direction: 1) in dialogue with potential investors for future funding,HORDE SITT BYRÅ SLIK AT VI KAN VINNE PRISER HVOR MAN ER NØDT TIL Å VÆRE ET BYRÅ FOR Å KVALIFISERE AS,933001792,0.96,Brreg match (score=6.3). Valid orgnr.
Sono Group N.V.,128.88,Reach out now,"transformation program (n/a) – (impact direction: 1) Rebranding to 'SonoSolar' to align with strategy as a solar mobility integrator; public tender consulting (n/a) – (impact direction: 1) Showcased solar-integrated solutions at Transport Logistic 2025, enhancing market visibility; partnership contract win (n/a) – (impact direction: 1) MAN Truck & Bus integrating Sono's solar technology into series vehicles",YARA TERTRE S.A./N.V.,915229409,0.96,Brreg match (score=5.5). Valid orgnr.
Biltema,126.3,Reach out now,"it initiative (n/a) – (impact direction: 1) Shift from legacy tools (e.g., Fiken, Tripletex) as businesses seek more integrated solutions; public tender consulting (n/a) – (impact direction: 1) Tenders/RFPs for accounting and payroll services are on the rise; hiring surge (n/a) – (impact direction: 1) Businesses are actively looking for accountants",BILTEMA NORGE AS,882692302,0.96,Brreg match (score=5.6). Valid orgnr.
DNB,121.59,Reach out now,merger acquisition (n/a) – (impact direction: 1) DNB's acquisition of Sbanken; public tender consulting (n/a) – (impact direction: 1) Tenders/RFPs for accounting and payroll services may arise; hiring surge (n/a) – (impact direction: 1) Businesses looking for an accountant,DNB BANK POLSKA S.A.,913104633,0.96,Brreg match (score=5.95). Valid orgnr.
Atea,119.2,Reach out now,it initiative (n/a) – (impact direction: 1) Increased demand for IT expertise noted; regulatory change response (n/a) – (impact direction: 1) Regulatory changes and tax actions may drive businesses to seek better compliance tools; layoffs downsizing (n/a) – (impact direction: -1) Atea has recently cut 50 jobs; public tender consulting (n/a) – (impact direction: 1) Tenders/RFPs for accounting and payroll services are on the rise; hiring surge (n/a) – (impact direction: 1) Companies are looking for accountants,ATEA A/S,914360110,0.96,Brreg match (score=5.6). Valid orgnr.
NTNU,113.31,Reach out now,transformation program (n/a) – (impact direction: 1) Development of a model by NTNU researchers to categorize and calculate reusable building materials; it initiative (n/a) – (impact direction: 1) Proposed use of 3D scanning technology and machine learning to automate material mapping,NTNU TECHNOLOGY TRANSFER AS,986251782,0.96,Brreg match (score=5.6). Valid orgnr.
NTS,112.22,Reach out now,"merger acquisition (n/a) – (impact direction: 1) ongoing business acquisitions and mergers in the seafood industry; it initiative (n/a) – (impact direction: 1) Potential switch intent from legacy tools; layoffs downsizing (n/a) – (impact direction: -1) Negative risk events, such as potential bankruptcies or layoffs; public tender consulting (n/a) – (impact direction: 1) Tenders and RFPs for accounting and payroll services",NTS BRYTERSERVICE AS,930655007,0.96,Brreg match (score=5.6). Valid orgnr.
SKS,111.82,Reach out now,"funding (Bodø, Salten, Nord-Norge) – (impact direction: 1) SKS contributes 10 million NOK to the project, indicating significant financial backing; partnership contract win (Bodø, Salten, Nord-Norge) – (impact direction: 1) Ten-year partnership agreement between FK Bodø/Glimt and SKS for financing a new arena; expansion (Bodø, Salten, Nord-Norge) – (impact direction: 1) Collaboration aims to enhance regional pride and economic development in Bodø, Salten, and Nord-Norge; expansion (Bodø, Salten, Nord-Norge) – (impact direction: 1) The new arena will serve not only FK Bodø/Glimt but the entire Nordland region; hiring surge (Bodø, Salten, Nord-Norge) – (impact direction: 1) Emphasis on community engagement and support for local initiatives through the new arena project",SKS KRANER A/S,995279517,0.96,Brreg match (score=5.6). Valid orgnr.
H World Group Limited,101.74,Reach out now,funding (n/a) – (impact direction: 1) Cash dividend declared of approximately US$250 million; expansion (n/a) – (impact direction: 1) Hotel turnover increased 15.0% year-over-year; expansion (n/a) – (impact direction: 1) Revenue increased 4.5% year-over-year; expansion (n/a) – (impact direction: 1) Manachised and franchised revenue increased 22.8% year-over-year; expansion (n/a) – (impact direction: 1) Q3 2025 revenue growth expected in the range of 2%-6%,DISCOVER THE WORLD LIMITED,918292950,0.96,Brreg match (score=5.15). Valid orgnr.
Oslo kommune,95.76,Reach out now,public tender consulting (Oslo) – (impact direction: 1) A market competition is being conducted to gauge interest from private operators; public tender consulting (Oslo) – (impact direction: 1) Announcement for the operation tender will occur in the fall of 2025,OSLO KOMMUNE BYRÅDSAVDELING FOR BYUTVIKLING,974770482,0.96,Brreg match (score=6.4). Valid orgnr.
Ukraina,93.11,Reach out now,new market entry (n/a) – (impact direction: 1) planlegger å kjøpe våpen fra USA for over 1000 milliarder kroner; partnership contract win (n/a) – (impact direction: 1) Avtalen inkluderer investeringer på 500 milliarder kroner fra USA og Ukraina for droneproduksjon; funding (n/a) – (impact direction: 1) Finansieringen av våpenkjøpet skal komme fra europeiske land,UKRAINA 2022,929028368,0.96,Brreg match (score=5.25). Valid orgnr.
Lerøy,74.91,Reach out now,transformation program (n/a) – (impact direction: 1) Lerøy continues to invest in infrastructure to support its 2025 harvest goal; expansion (n/a) – (impact direction: 1) aims for 50 billion NOK in revenue by 2030,LERØY INVEST,933077616,0.96,Brreg match (score=6.75). Valid orgnr.
Folketrygdfondet,67.07,Warm outreach,project hiring surge (Tromsø) – (impact direction: 1) Recruitment of a five-person team for the Tromsø office completed; office opening (Tromsø) – (impact direction: 1) New office opened in Tromsø,FOLKETRYGDFONDET,971525061,0.96,Brreg match (score=4.25). Valid orgnr.
Ukraine,66.4,Warm outreach,public tender consulting (n/a) – (impact direction: 1) Positive signals from the US regarding support for Ukraine's security discussed; partnership contract win (n/a) – (impact direction: 1) European leaders have reiterated the need for Ukraine's involvement in any agreements,UKRAINE HOUSE IN NORWAY,931875515,0.96,Brreg match (score=5.6). Valid orgnr.
Congo,65.13,Warm outreach,regulatory change response (n/a) – (impact direction: 1) granting the US access to key minerals in the region; partnership contract win (n/a) – (impact direction: 1) Congo and Rwanda signed a US-brokered peace agreement,CONGO NORD SUD,999196276,0.96,Brreg match (score=5.25). Valid orgnr.
Schlumberger,64.64,Warm outreach,transformation program (n/a) – (impact direction: 1) introducing AI-enhanced and sustainable solutions,SCHLUMBERGER OVERSEAS S.A,996230155,0.96,Brreg match (score=5.25). Valid orgnr.
Halliburton,64.64,Warm outreach,transformation program (n/a) – (impact direction: 1) introducing AI-enhanced and sustainable solutions,HALLIBURTON DENMARK A/S,979968671,0.96,Brreg match (score=5.25). Valid orgnr.
Tattoo Gizmo,61.94,Warm outreach,"expansion (North America) – (impact direction: 1) Tattoo accessories market projected to grow from $1.35 billion in 2024 to $1.43 billion in 2025; expansion (Asia-Pacific) – (impact direction: 1) Asia-Pacific expected to be the fastest-growing region; partnership contract win (n/a) – (impact direction: 1) Strategic partnerships, such as Inked and Mad Rabbit Tattoo, enhancing brand presence in aftercare",GIZMO AS,992706864,0.96,Brreg match (score=4.0). Valid orgnr.
World Economic Forum,58.93,Warm outreach,strategy refresh (n/a) – (impact direction: 1) WEF uttrykker behov for en mer institusjonalisert modell,"WORLD SUSTAINABLE DEVELOPMENT FORUM NORDIC (WSDF NORDIC), FORUM FOR GLOBAL BÆREKRAFTIG UTVIKLING- AVDELING NORDEN",917731411,0.96,Brreg match (score=4.45). Valid orgnr.
Brasil,43.39,Monitor,new market entry (Brasil) – (impact direction: 1) vurdere å snu produkter til andre markeder som Kina og Europa,BRASIL GATEKJØKKEN ANS,993372544,0.96,Brreg match (score=5.25). Valid orgnr.
Frende,41.89,Monitor,"public tender consulting (n/a) – (impact direction: 1) multiple brannkasser transition to Frende, indicating a need for efficient invoicing and payroll solutions",FRENDE HOLDING AS,991410325,0.96,Brreg match (score=5.25). Valid orgnr.
Storhamar Hockey,25.04,Monitor,partnership contract win (n/a) – (impact direction: 1) signed a sponsorship agreement with TikTok,STORHAMAR HOCKEY AS,935606594,0.96,Brreg match (score=5.4). Valid orgnr.
Eiendom Norge,22.34,Monitor,"partnership contract win (n/a) – (impact direction: 1) Eiendom Norge, in collaboration with Sparebanken Norge, is hosting Boligdagen",EIENDOM NORGE EIENDOMSDATA AS,921682832,0.96,Brreg match (score=6.4). Valid orgnr.
Sparebanken Norge,22.34,Monitor,partnership contract win (n/a) – (impact direction: 1) Strategic collaboration between Sparebanken Norge and Varig Forsikring,SPAREBANKEN NORGE AVD NÆRBØ,997489446,0.96,Brreg match (score=6.75). Valid orgnr.
ÖoB,17.56,Monitor,leadership change (n/a) – (impact direction: 1) New CEO appointments at ÖoB,LEHMANN AS A SERVICE AS,921340214,0.96,Brreg match (score=3.2). Valid orgnr.
Multiconsult,17.56,Monitor,leadership change (n/a) – (impact direction: 1) New CEO appointments at Multiconsult,MULTICONSULT ASA,910253158,0.96,Brreg match (score=5.25). Valid orgnr.
Komplett Group,17.56,Monitor,leadership change (n/a) – (impact direction: 1) New CEO appointments at Komplett Group,KOMPLETT ASA,980213250,0.96,Brreg match (score=3.65). Valid orgnr.
Norse Atlantic,2.88,Monitor,cost cutting (n/a) – (impact direction: -1) Norse Atlantic reported a loss of 56 million NOK in Q2 2025; funding (n/a) – (impact direction: 1) Plans to refinance debt by issuing a convertible bond of 30 million USD; hiring surge (n/a) – (impact direction: 1) Plans to lease five aircraft to Indian airline Indigo,NORSE ATLANTIC ASA,926645986,0.96,Brreg match (score=6.4). Valid orgnr.
Aker Horizons,-12.37,Monitor,"public tender consulting (n/a) – (impact direction: 1) Tenders/RFPs for accounting, payroll, and e-invoicing services; layoffs downsizing (n/a) – (impact direction: -1) layoffs and restructuring in firms; regulatory change response (n/a) – (impact direction: 0) regulatory scrutiny and tax actions can prompt businesses; contract loss (n/a) – (impact direction: -1) companies facing bankruptcy or financial distress",AKER HORIZONS ASA,925978558,0.96,Brreg match (score=6.4). Valid orgnr.
Cermaq,-23.94,Monitor,strategy lock in (n/a) – (impact direction: -1) paused a project due to the lakseskatten,CERMAQ GROUP AS,971647949,0.96,Brreg match (score=5.25). Valid orgnr.
SBB,-31.42,Monitor,profit warning (n/a) – (impact direction: -1) significant loss of 7.2 billion SEK in 2024,SBB OMSORGSBOLIG 1 AS,912507238,0.96,Brreg match (score=5.6). Valid orgnr.
Kongsberg Gruppen,-40.4,Monitor,cost cutting (n/a) – (impact direction: -1) Kongsberg Gruppen's stock value dropped significantly,KONGSBERG GRUPPEN ASA,943753709,0.96,Brreg match (score=6.4). Valid orgnr.
Telenor,-43.49,Monitor,strategy lock in (Myanmar) – (impact direction: -1) Trist at de går et steg tilbake; contract loss (Myanmar) – (impact direction: -1) Telenor's services were temporarily disrupted following the coup,TELENOR A/S,814742342,0.96,Brreg match (score=5.6). Valid orgnr.
Visma,-49.38,Monitor,layoffs downsizing (n/a) – (impact direction: -1) Negative risk events: layoffs reported in Visma,VISMA PLANDISC A/S,925757454,0.96,Brreg match (score=5.6). Valid orgnr.
Airthings,-49.38,Monitor,layoffs downsizing (n/a) – (impact direction: -1) layoffs of one-third of its workforce,AIRTHINGS ASA,993092045,0.96,Brreg match (score=5.25). Valid orgnr.
Bergen Group,-52.27,Monitor,"bankruptcy insolvency (n/a) – (impact direction: -1) Negative risk events, including bankruptcy; public tender consulting (n/a) – (impact direction: 1) Tenders/RFPs for accounting and payroll services likely to arise; contract loss (n/a) – (impact direction: -1) financial instability at Bergen Group",VERKSTEDSKLUBBEN BERGEN GROUP SERVICES,912288846,0.96,Brreg match (score=5.75). Valid orgnr.
